no	file	para	caption
1	01_fig_1_1.png	290	图1.1 智能体导航交互示意图
2	02_fig_1_2.png	298	图1.2 “说话者-跟随者”模型架构
3	03_fig_1_3.png	423	图1.3 章节内容结构图
4	04_fig_2_1.png	438	图2.1 注意力汇聚将查询和键结合在一起，实现对值的选择倾向
5	05_fig_2_2.png	441	图2.2 计算注意力汇聚的输出为值的加权和
6	06_fig_2_3.png	459	图2.3 绝对位置信息与编码维度关系热图
7	07_fig_2_4.png	463	图2.4 Transformer编码器-解码器架构
8	08_fig_2_5.png	467	图2.5 编码器自注意力
9	09_fig_2_6.png	469	图2.6 解码器自注意力
10	10_fig_2_7.png	471	图2.7 编码器-解码器注意力
11	11_fig_2_8.png	475	图2.8 双流与单流融合范式
12	12_fig_2_9.png	484	图2.9 双流多模态融合范式
13	13_fig_2_10.png	503	图2.10 智能体奖励、状态、动作关系图
14	14_fig_2_11.png	521	图2.11 A2C算法架构图
15	15_fig_3_1.png	654	图3.1 显卡环境
16	16_fig_3_2.png	660	图3.2 训练过程中的导航成功率与累计奖励变化曲线
17	17_fig_3_3.png	663	图3.3 训练过程中的Critic损失与策略熵变化曲线
18	18_fig_3_4.png	667	图3.4 训练过程中的总动作数变化趋势
19	19_fig_3_5.png	671	图3.5 模型参数规模对比与推理吞吐变化
20	20_fig_3_6.png	673	图3.6 对比基线模型训练-推理速度
21	21_fig_3_7.png	677	图3.7 Matterport3D仿真环境中的代表性导航轨迹
22	22_fig_3_8.png	682	图3.8 val seen环境中的成功导航案例1
23	23_fig_3_9.png	685	图3.9 val seen环境中的成功导航案例2
24	24_fig_3_10.png	689	图3.10 val unseen环境中的成功导航案例
25	25_fig_4_1.png	1046	图4.1 VC-ROSVLN实车部署总体架构
26	26_fig_4_2.jpg	1061	图4.2 语音识别模块在ROSMASTER X3平台上的安装实物图
27	27_fig_4_3.jpg	1067	图4.3 ROSMASTER X3实车平台硬件集成总览
28	28_fig_4_4.jpg	1073	图4.4 ROSMASTER X3车载计算与传感器连接细节
29	29_fig_4_5.jpg	1082	图4.5 ROSMASTER X3平台侧面接口与计算核心布置
30	30_fig_1.png	1145	图A1 测试版本的前30k迭代各项指标
31	31_fig_1.png	1146	图A1 测试版本的前30k迭代各项指标
32	32_fig_2.png	1148	图A2 测试版本的前30k迭代智能体总动作数
33	33_fig_3.png	1151	图A3 最终版本的前50k迭代各项指标
34	34_fig_3.png	1151	图A3 最终版本的前50k迭代各项指标
35	35_fig_3.png	1151	图A3 最终版本的前50k迭代各项指标
36	36_fig_3.png	1151	图A3 最终版本的前50k迭代各项指标
37	37_fig_4.png	1155	图A4 附加额外交叉注意力版本的前35k迭代各项指标
38	38_fig_5.png	1158	图A5 训练日志输出
39	39_fig_6.png	1161	图A6 val seen环境中的成功导航案例1(英文原版，正文为便于阅读将英文指令替换成中文)
40	40_fig_7.png	1163	图A7 val seen环境中的成功导航案例2(英文原版，正文为便于阅读将英文指令替换成中文)
41	24_fig_3_10.png	1166	图A8 val unseen 环境中的成功导航案例(英文原版，正文为便于阅读将英文指令替换成中文)
42	41_fig_9.png	1168	图A9 基线模型和改进版的训练-推理速度对比
43	42_fig_9.png	1169	图A9 基线模型和改进版的训练-推理速度对比
